epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,91.3099,0.81353,5.77667,0.01382,0.05123,0.68931,0.80082,0.84553,0.81619,0.29135,2.43176,0.01408,0.00502,0.000415264,0.000415264,0.000415264
2,164.059,0.55739,2.11774,0.01186,0.02574,0.901,0.90524,0.94812,0.91653,0.28738,1.11306,0.01553,0.00888,0.000823694,0.000823694,0.000823694
3,235.817,0.51206,1.1699,0.01161,0.02082,0.89648,0.92047,0.96897,0.94818,0.23977,0.68948,0.015,0.00472,0.00122387,0.00122387,0.00122387
4,308.394,0.4983,0.82649,0.0115,0.02327,0.92687,0.94444,0.97805,0.95963,0.23824,0.43605,0.01517,0.00526,0.00121287,0.00121287,0.00121287
5,380.128,0.46824,0.6187,0.01103,0.01774,0.93542,0.94431,0.98254,0.96588,0.22621,0.33032,0.01391,0.00521,0.0012005,0.0012005,0.0012005
6,452.5,0.46069,0.53877,0.01119,0.01786,0.94447,0.95582,0.98376,0.96845,0.22618,0.2883,0.01393,0.00487,0.00118812,0.00118812,0.00118812
7,524.693,0.44082,0.46824,0.0111,0.01791,0.96372,0.93681,0.98401,0.96269,0.23028,0.24446,0.01392,0.00496,0.00117575,0.00117575,0.00117575
8,598.519,0.44693,0.44096,0.01135,0.016,0.95822,0.96554,0.98775,0.97527,0.2272,0.22103,0.01422,0.00442,0.00116337,0.00116337,0.00116337
9,670.981,0.44619,0.40509,0.01134,0.01584,0.94102,0.97566,0.9853,0.96942,0.21533,0.20947,0.01412,0.00374,0.001151,0.001151,0.001151
10,743.432,0.4327,0.39948,0.0112,0.01482,0.95327,0.95497,0.98609,0.97785,0.1999,0.20701,0.01531,0.0032,0.00113863,0.00113863,0.00113863
11,816.318,0.42082,0.36314,0.01146,0.01404,0.97288,0.9618,0.98968,0.97808,0.2058,0.17838,0.01528,0.00433,0.00112625,0.00112625,0.00112625
12,889.486,0.43405,0.3624,0.01169,0.01346,0.96272,0.97906,0.98938,0.97917,0.22189,0.18268,0.01572,0.00504,0.00111388,0.00111388,0.00111388
13,961.7,0.41427,0.33317,0.01133,0.01214,0.97443,0.96584,0.99053,0.97425,0.22769,0.18218,0.01305,0.00572,0.0011015,0.0011015,0.0011015
14,1034.27,0.40889,0.31938,0.01115,0.01399,0.96386,0.97146,0.99041,0.97751,0.20705,0.15586,0.0153,0.00279,0.00108913,0.00108913,0.00108913
15,1105.83,0.40253,0.3207,0.01105,0.01174,0.98098,0.95895,0.99071,0.97983,0.19425,0.14857,0.01436,0.00335,0.00107675,0.00107675,0.00107675
16,1177.68,0.40075,0.30848,0.01105,0.01156,0.98007,0.96935,0.99026,0.98095,0.2028,0.14968,0.01377,0.00255,0.00106437,0.00106437,0.00106437
17,1250.92,0.39818,0.30834,0.0113,0.01078,0.97125,0.98233,0.99098,0.98163,0.19498,0.14758,0.01538,0.00449,0.001052,0.001052,0.001052
18,1322.7,0.38975,0.29549,0.01153,0.00921,0.97776,0.97395,0.98998,0.97918,0.20307,0.14498,0.0167,0.00285,0.00103962,0.00103962,0.00103962
19,1395.18,0.40039,0.29815,0.01107,0.01134,0.97814,0.97909,0.9905,0.98067,0.19449,0.1408,0.01372,0.00351,0.00102725,0.00102725,0.00102725
20,1469.66,0.40782,0.28512,0.01119,0.01192,0.968,0.97309,0.98959,0.97776,0.19833,0.1413,0.01349,0.00428,0.00101488,0.00101488,0.00101488
21,1543.16,0.40456,0.28548,0.01113,0.01144,0.9702,0.9911,0.99102,0.98258,0.18753,0.12725,0.01358,0.00453,0.0010025,0.0010025,0.0010025
22,1616.12,0.3876,0.27736,0.01093,0.01097,0.98112,0.98287,0.99001,0.98035,0.18782,0.12412,0.01317,0.00346,0.000990125,0.000990125,0.000990125
23,1688.94,0.38306,0.27908,0.01122,0.01031,0.96824,0.97618,0.98928,0.98114,0.17996,0.13458,0.01434,0.0026,0.00097775,0.00097775,0.00097775
24,1760.89,0.372,0.26226,0.01037,0.01049,0.9634,0.98198,0.98942,0.98172,0.18772,0.13359,0.01348,0.00391,0.000965375,0.000965375,0.000965375
25,1833.76,0.39623,0.28034,0.0108,0.0097,0.97313,0.97447,0.99099,0.98472,0.18284,0.13616,0.01448,0.00274,0.000953,0.000953,0.000953
26,1906.61,0.371,0.25733,0.01122,0.00878,0.98105,0.98467,0.99143,0.9826,0.18726,0.11874,0.01534,0.00293,0.000940625,0.000940625,0.000940625
27,1979.19,0.37857,0.26274,0.01107,0.01107,0.97398,0.99096,0.99125,0.98081,0.20312,0.12424,0.01277,0.00574,0.00092825,0.00092825,0.00092825
28,2052.2,0.38276,0.25828,0.01126,0.01143,0.98202,0.98697,0.99206,0.98164,0.19719,0.12172,0.01229,0.00396,0.000915875,0.000915875,0.000915875
29,2124.1,0.38167,0.25674,0.01073,0.01326,0.98819,0.97767,0.99234,0.98318,0.19529,0.11493,0.01188,0.00733,0.0009035,0.0009035,0.0009035
30,2197.68,0.3823,0.25174,0.01043,0.01056,0.97803,0.98715,0.99085,0.98337,0.18273,0.11537,0.01249,0.00275,0.000891125,0.000891125,0.000891125
31,2270.07,0.37538,0.24777,0.01096,0.00925,0.98782,0.99224,0.99252,0.98436,0.18801,0.11082,0.01361,0.00308,0.00087875,0.00087875,0.00087875
32,2343.38,0.39209,0.25746,0.01101,0.01019,0.98808,0.98162,0.99137,0.98261,0.19237,0.11532,0.01337,0.00362,0.000866375,0.000866375,0.000866375
33,2416.53,0.37591,0.2411,0.01061,0.01056,0.98597,0.97769,0.99001,0.9801,0.19161,0.11784,0.014,0.00548,0.000854,0.000854,0.000854
34,2488.09,0.36706,0.23639,0.01124,0.0091,0.98401,0.98701,0.99146,0.98496,0.18315,0.11153,0.01414,0.0028,0.000841625,0.000841625,0.000841625
35,2560.63,0.37388,0.24518,0.0115,0.0092,0.9819,0.97049,0.99098,0.98018,0.18818,0.12668,0.01346,0.00967,0.00082925,0.00082925,0.00082925
36,2633.81,0.36879,0.24134,0.01137,0.00884,0.97287,0.98766,0.99138,0.98283,0.18324,0.11606,0.01481,0.00257,0.000816875,0.000816875,0.000816875
37,2706.96,0.36018,0.23344,0.01123,0.00812,0.97819,0.98036,0.99154,0.98662,0.17099,0.11359,0.014,0.00245,0.0008045,0.0008045,0.0008045
38,2780.51,0.375,0.23597,0.01105,0.00874,0.98089,0.98756,0.9909,0.98439,0.17879,0.11277,0.01303,0.00312,0.000792125,0.000792125,0.000792125
39,2852.99,0.35757,0.22435,0.01072,0.00858,0.98835,0.98148,0.99166,0.98171,0.19303,0.10647,0.0132,0.00258,0.00077975,0.00077975,0.00077975
40,2925.6,0.36848,0.23635,0.01119,0.0087,0.98484,0.99061,0.99186,0.98411,0.19602,0.11066,0.01287,0.00206,0.000767375,0.000767375,0.000767375
41,2998.5,0.36167,0.2286,0.01137,0.00819,0.98607,0.98911,0.99166,0.98497,0.17391,0.10446,0.01481,0.00274,0.000755,0.000755,0.000755
