epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,146.015,0.97783,1.03783,0.03595,0.0368,0.78192,0.87299,0.89892,0.75343,0.70047,0.61636,0.03804,0.01131,0.000415419,0.000415419,0.000415419
2,269.165,0.942,0.73102,0.03599,0.03165,0.87334,0.90363,0.9292,0.77676,0.70662,0.45853,0.03711,0.01092,0.00082934,0.00082934,0.00082934
3,390.62,0.9029,0.64827,0.03499,0.02818,0.88744,0.91185,0.93825,0.79152,0.66013,0.42605,0.03527,0.01039,0.00124051,0.00124051,0.00124051
4,511.759,0.89095,0.56709,0.03405,0.02699,0.91993,0.91065,0.9486,0.79521,0.67808,0.38484,0.03448,0.01084,0.00123763,0.00123763,0.00123763
5,633.891,0.8831,0.54973,0.03391,0.02564,0.91641,0.90837,0.95113,0.81221,0.62497,0.36796,0.03482,0.01025,0.0012335,0.0012335,0.0012335
6,756.598,0.8691,0.54036,0.03446,0.02353,0.91495,0.92034,0.95031,0.80822,0.64268,0.36788,0.03571,0.01035,0.00122937,0.00122937,0.00122937
7,879.53,0.85306,0.50434,0.03346,0.02397,0.92438,0.93147,0.9543,0.81138,0.63692,0.33978,0.03425,0.00987,0.00122525,0.00122525,0.00122525
8,1001.78,0.83689,0.47679,0.03335,0.02203,0.92963,0.94054,0.95448,0.82138,0.61421,0.32274,0.03271,0.00856,0.00122112,0.00122112,0.00122112
9,1125.06,0.83618,0.48192,0.03303,0.0245,0.92388,0.91971,0.95646,0.81577,0.6339,0.33554,0.03401,0.01023,0.001217,0.001217,0.001217
10,1247.66,0.80677,0.47803,0.0336,0.02059,0.93923,0.93785,0.96441,0.82034,0.62786,0.31639,0.03617,0.01199,0.00121287,0.00121287,0.00121287
11,1371.22,0.83965,0.4752,0.03439,0.02246,0.93541,0.92782,0.95756,0.81743,0.646,0.3137,0.03466,0.01056,0.00120875,0.00120875,0.00120875
12,1494.25,0.80767,0.46622,0.03291,0.01897,0.93501,0.94951,0.96828,0.82256,0.62255,0.30325,0.03271,0.00839,0.00120462,0.00120462,0.00120462
13,1617.36,0.81327,0.45334,0.03477,0.02165,0.94478,0.93553,0.96537,0.82083,0.62249,0.31719,0.0364,0.01191,0.0012005,0.0012005,0.0012005
14,1739.64,0.7903,0.44161,0.03276,0.02,0.94064,0.94653,0.96888,0.82942,0.61041,0.2971,0.03484,0.00863,0.00119637,0.00119637,0.00119637
15,1862.76,0.78165,0.4454,0.03286,0.01902,0.94256,0.94571,0.97147,0.83351,0.60049,0.2917,0.03353,0.01247,0.00119225,0.00119225,0.00119225
16,1985.73,0.78462,0.4397,0.03235,0.02065,0.94299,0.93793,0.96761,0.83083,0.59294,0.29874,0.03416,0.00843,0.00118812,0.00118812,0.00118812
17,2108.62,0.78834,0.44143,0.03307,0.01933,0.94469,0.95288,0.97435,0.83756,0.59731,0.28766,0.03346,0.00889,0.001184,0.001184,0.001184
18,2233.15,0.79357,0.43619,0.03291,0.01914,0.94183,0.94905,0.97369,0.83089,0.6078,0.29322,0.0327,0.01529,0.00117988,0.00117988,0.00117988
19,2356.15,0.78064,0.42591,0.03196,0.01723,0.94316,0.94024,0.96913,0.82858,0.61296,0.29429,0.034,0.00754,0.00117575,0.00117575,0.00117575
20,2479.36,0.78572,0.43824,0.03352,0.01957,0.93345,0.94894,0.97307,0.82459,0.62789,0.3144,0.03468,0.01143,0.00117163,0.00117163,0.00117163
21,2602.41,0.7673,0.42922,0.03536,0.01768,0.95761,0.93572,0.97244,0.83604,0.59045,0.28233,0.03569,0.00904,0.0011675,0.0011675,0.0011675
22,2725.4,0.763,0.42351,0.03404,0.01754,0.94684,0.95026,0.97171,0.83518,0.59691,0.28421,0.03456,0.00737,0.00116337,0.00116337,0.00116337
23,2848.43,0.75377,0.42102,0.03346,0.0164,0.95586,0.94963,0.97219,0.83768,0.58137,0.26832,0.03481,0.00611,0.00115925,0.00115925,0.00115925
